obj_id,source_path,dest_path,files,top_level_dirs
OBJ_0069,Stonebock/Datenbank/Objekt 69,objects/OBJ_0069,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0070,Stonebock/Datenbank/Objekt 70,objects/OBJ_0070,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0071,Stonebock/Datenbank/Objekt 71,objects/OBJ_0071,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0072,Stonebock/Datenbank/Objekt 72,objects/OBJ_0072,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0073,Stonebock/Datenbank/Objekt 73,objects/OBJ_0073,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0074,Stonebock/Datenbank/Objekt 74,objects/OBJ_0074,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0075,Stonebock/Datenbank/Objekt 75,objects/OBJ_0075,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0076,Stonebock/Datenbank/Objekt 76,objects/OBJ_0076,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0077,Stonebock/Datenbank/Objekt 77,objects/OBJ_0077,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0078,Stonebock/Datenbank/Objekt 78,objects/OBJ_0078,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0079,Stonebock/Datenbank/Objekt 79,objects/OBJ_0079,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0080,Stonebock/Datenbank/Objekt 80,objects/OBJ_0080,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0081,Stonebock/Datenbank/Objekt 81,objects/OBJ_0081,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0082,Stonebock/Datenbank/Objekt 82,objects/OBJ_0082,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0083,Stonebock/Datenbank/Objekt 83,objects/OBJ_0083,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0084,Stonebock/Datenbank/Objekt 84,objects/OBJ_0084,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0085,Stonebock/Datenbank/Objekt 85,objects/OBJ_0085,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0086,Stonebock/Datenbank/Objekt 86,objects/OBJ_0086,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0087,Stonebock/Datenbank/Objekt 87,objects/OBJ_0087,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0088,Stonebock/Datenbank/Objekt 88,objects/OBJ_0088,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0089,Stonebock/Datenbank/Objekt 89,objects/OBJ_0089,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0090,Stonebock/Datenbank/Objekt 90,objects/OBJ_0090,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0091,Stonebock/Datenbank/Objekt 91,objects/OBJ_0091,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0092,Stonebock/Datenbank/Objekt 92,objects/OBJ_0092,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0093,Stonebock/Datenbank/Objekt 93,objects/OBJ_0093,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0094,Stonebock/Datenbank/Objekt 94,objects/OBJ_0094,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0095,Stonebock/Datenbank/Objekt 95,objects/OBJ_0095,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0096,Stonebock/Datenbank/Objekt 96,objects/OBJ_0096,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0097,Stonebock/Datenbank/Objekt 97,objects/OBJ_0097,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0098,Stonebock/Datenbank/Objekt 98,objects/OBJ_0098,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0099,Stonebock/Datenbank/Objekt 99,objects/OBJ_0099,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0100,Stonebock/Datenbank/Objekt 100,objects/OBJ_0100,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0101,Stonebock/Datenbank/Objekt 101,objects/OBJ_0101,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0102,Stonebock/Datenbank/Objekt 102,objects/OBJ_0102,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0103,Stonebock/Datenbank/Objekt 103,objects/OBJ_0103,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0104,Stonebock/Datenbank/Objekt 104,objects/OBJ_0104,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0105,Stonebock/Datenbank/Objekt 105,objects/OBJ_0105,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0106,Stonebock/Datenbank/Objekt 106,objects/OBJ_0106,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
